baserCMS,ベーサーシーエムエス
netbsd,ねっとびーえすでぃー
WebTouchMeeting×Mozilla,ウエブタッチミーティングアンドモジラ
WebTouchMeeting,ウエブタッチミーティング
Mozilla,もじら
PostgreSQL,ポストグレエスキューエル
mysql,まいえすきゅーえる
oracle,おらくる
office,オフィス
official,オフィシャル
intel,インテル
twitter,ツイッター
city,シティ
akira,あきら
tweet,ついーと
hiroshima,ひろしま
ruby,ルビー
rubynews,ルビーニュース
rails,レールズ
ios,アイオーエス
net,ネット
mac,マック
linux,リナックス
windows,ウインドーズ
com,コム
unix,ユニックス
mazda,マツダ
test,テスト
google,グーグル
fukuoka,ふくおか
invalid,インバリッド
version,バージョン
specified,スペシフィード
haskell,ハスキル
java,ジャバ
pixiv,ピクシブ
wiki,うぃき
angela,アンジェラ
sebastian,セバスチャン
vampire,バンパイア
variations,バリエーションず
message,メッセージ
board,ボード
square,スクエア
enix,エニックス
live,ライブ
freedom,フリーダム
zero,ゼロ
pic,ピック
bridal,ブライダル
festival,フェスティバル
photoshop,フォトショップ
illustrator,イラストレーター
web,ウエブ
perl,パール
japan,ジャパン
